Country Name,Indicator Name,2019
Aruba,"Inflation, consumer prices (annual %)",4.25746204335428
Africa Eastern and Southern,"Inflation, consumer prices (annual %)",4.12024587014984
Afghanistan,"Inflation, consumer prices (annual %)",2.30237251516844
Africa Western and Central,"Inflation, consumer prices (annual %)",1.75856517595659
Angola,"Inflation, consumer prices (annual %)",17.0812152138993
Albania,"Inflation, consumer prices (annual %)",1.41109078954248
Andorra,"Inflation, consumer prices (annual %)",
Arab World,"Inflation, consumer prices (annual %)",1.09184802655847
United Arab Emirates,"Inflation, consumer prices (annual %)",-1.93108114782171
Argentina,"Inflation, consumer prices (annual %)",
Armenia,"Inflation, consumer prices (annual %)",1.44344660770702
American Samoa,"Inflation, consumer prices (annual %)",
Antigua and Barbuda,"Inflation, consumer prices (annual %)",1.43135598182989
Australia,"Inflation, consumer prices (annual %)",1.61076787290379
Austria,"Inflation, consumer prices (annual %)",1.53089564152645
Azerbaijan,"Inflation, consumer prices (annual %)",2.61057182799216
Burundi,"Inflation, consumer prices (annual %)",-0.686772170797229
Belgium,"Inflation, consumer prices (annual %)",1.43681956996435
Benin,"Inflation, consumer prices (annual %)",-0.70502663454275
Burkina Faso,"Inflation, consumer prices (annual %)",-3.23338933983321
Bangladesh,"Inflation, consumer prices (annual %)",5.59199639930633
Bulgaria,"Inflation, consumer prices (annual %)",3.10372944796774
Bahrain,"Inflation, consumer prices (annual %)",1.00582004702132
"Bahamas, The","Inflation, consumer prices (annual %)",2.49123527368055
Bosnia and Herzegovina,"Inflation, consumer prices (annual %)",0.562782154061303
Belarus,"Inflation, consumer prices (annual %)",5.59815595039851
Belize,"Inflation, consumer prices (annual %)",
Bermuda,"Inflation, consumer prices (annual %)",
Bolivia,"Inflation, consumer prices (annual %)",1.83954504969032
Brazil,"Inflation, consumer prices (annual %)",3.73297621216894
Barbados,"Inflation, consumer prices (annual %)",4.10028964518463
Brunei Darussalam,"Inflation, consumer prices (annual %)",-0.390522069165492
Bhutan,"Inflation, consumer prices (annual %)",2.72582104307304
Botswana,"Inflation, consumer prices (annual %)",2.7728644286333
Central African Republic,"Inflation, consumer prices (annual %)",2.68537355266785
Canada,"Inflation, consumer prices (annual %)",1.94926902411596
Central Europe and the Baltics,"Inflation, consumer prices (annual %)",2.66456133425443
Switzerland,"Inflation, consumer prices (annual %)",0.362886179940635
Channel Islands,"Inflation, consumer prices (annual %)",
Chile,"Inflation, consumer prices (annual %)",2.55754475703323
China,"Inflation, consumer prices (annual %)",2.89923416358227
Cote d'Ivoire,"Inflation, consumer prices (annual %)",-1.10686343994202
Cameroon,"Inflation, consumer prices (annual %)",2.45280214062733
"Congo, Dem. Rep.","Inflation, consumer prices (annual %)",
"Congo, Rep.","Inflation, consumer prices (annual %)",2.20607305781519
Colombia,"Inflation, consumer prices (annual %)",3.52549273618952
Comoros,"Inflation, consumer prices (annual %)",
Cabo Verde,"Inflation, consumer prices (annual %)",1.1066667429606
Costa Rica,"Inflation, consumer prices (annual %)",2.09604635327805
Caribbean small states,"Inflation, consumer prices (annual %)",1.43135598182989
Cuba,"Inflation, consumer prices (annual %)",
Curacao,"Inflation, consumer prices (annual %)",2.62220783425056
Cayman Islands,"Inflation, consumer prices (annual %)",
Cyprus,"Inflation, consumer prices (annual %)",0.250370996758456
Czechia,"Inflation, consumer prices (annual %)",2.84787595918047
Germany,"Inflation, consumer prices (annual %)",1.4456670146976
Djibouti,"Inflation, consumer prices (annual %)",3.31925372703833
Dominica,"Inflation, consumer prices (annual %)",1.50462353858147
Denmark,"Inflation, consumer prices (annual %)",0.758131572511619
Dominican Republic,"Inflation, consumer prices (annual %)",1.8106037704296
Algeria,"Inflation, consumer prices (annual %)",1.95176821052894
East Asia & Pacific (excluding high income),"Inflation, consumer prices (annual %)",1.85783841646689
Early-demographic dividend,"Inflation, consumer prices (annual %)",2.75980873474449
East Asia & Pacific,"Inflation, consumer prices (annual %)",1.62724367098146
Europe & Central Asia (excluding high income),"Inflation, consumer prices (annual %)",2.67599202639892
Europe & Central Asia,"Inflation, consumer prices (annual %)",1.76373586528838
Ecuador,"Inflation, consumer prices (annual %)",0.266012515466136
"Egypt, Arab Rep.","Inflation, consumer prices (annual %)",9.15279959324812
Euro area,"Inflation, consumer prices (annual %)",1.4456670146976
Eritrea,"Inflation, consumer prices (annual %)",
Spain,"Inflation, consumer prices (annual %)",0.699518994458693
Estonia,"Inflation, consumer prices (annual %)",2.27725931243518
Ethiopia,"Inflation, consumer prices (annual %)",15.8096321719345
European Union,"Inflation, consumer prices (annual %)",1.63052260754338
Fragile and conflict affected situations,"Inflation, consumer prices (annual %)",2.45280214062733
Finland,"Inflation, consumer prices (annual %)",1.02409392963429
Fiji,"Inflation, consumer prices (annual %)",1.7731018246027
France,"Inflation, consumer prices (annual %)",1.10825492288292
Faroe Islands,"Inflation, consumer prices (annual %)",
"Micronesia, Fed. Sts.","Inflation, consumer prices (annual %)",1.53907146098899
Gabon,"Inflation, consumer prices (annual %)",2.46456756151187
United Kingdom,"Inflation, consumer prices (annual %)",1.73810460086511
Georgia,"Inflation, consumer prices (annual %)",4.85289821696731
Ghana,"Inflation, consumer prices (annual %)",7.14364003330856
Gibraltar,"Inflation, consumer prices (annual %)",
Guinea,"Inflation, consumer prices (annual %)",9.47077937313535
"Gambia, The","Inflation, consumer prices (annual %)",7.11567625631191
Guinea-Bissau,"Inflation, consumer prices (annual %)",0.246600268147853
Equatorial Guinea,"Inflation, consumer prices (annual %)",1.23869860205109
Greece,"Inflation, consumer prices (annual %)",0.25300752203812
Grenada,"Inflation, consumer prices (annual %)",0.59814976473601
Greenland,"Inflation, consumer prices (annual %)",
Guatemala,"Inflation, consumer prices (annual %)",3.69998398008601
Guam,"Inflation, consumer prices (annual %)",
Guyana,"Inflation, consumer prices (annual %)",2.0872308916202
High income,"Inflation, consumer prices (annual %)",1.57083175721512
"Hong Kong SAR, China","Inflation, consumer prices (annual %)",2.8832085377399
Honduras,"Inflation, consumer prices (annual %)",4.36587159819272
Heavily indebted poor countries (HIPC),"Inflation, consumer prices (annual %)",2.68537355266785
Croatia,"Inflation, consumer prices (annual %)",0.771820346498083
Haiti,"Inflation, consumer prices (annual %)",18.7037825672506
Hungary,"Inflation, consumer prices (annual %)",3.3385863538201
IBRD only,"Inflation, consumer prices (annual %)",2.59801620311075
IDA & IBRD total,"Inflation, consumer prices (annual %)",2.61057182799216
IDA total,"Inflation, consumer prices (annual %)",2.68068278953338
IDA blend,"Inflation, consumer prices (annual %)",1.98958744120894
Indonesia,"Inflation, consumer prices (annual %)",3.03058664969491
IDA only,"Inflation, consumer prices (annual %)",2.74417061846705
Isle of Man,"Inflation, consumer prices (annual %)",
India,"Inflation, consumer prices (annual %)",3.72950573539126
Not classified,"Inflation, consumer prices (annual %)",
Ireland,"Inflation, consumer prices (annual %)",0.939044481054341
"Iran, Islamic Rep.","Inflation, consumer prices (annual %)",39.9073455697783
Iraq,"Inflation, consumer prices (annual %)",-0.198965380023871
Iceland,"Inflation, consumer prices (annual %)",3.01397179156056
Israel,"Inflation, consumer prices (annual %)",0.844128708733833
Italy,"Inflation, consumer prices (annual %)",0.611246943765291
Jamaica,"Inflation, consumer prices (annual %)",3.90510000865876
Jordan,"Inflation, consumer prices (annual %)",0.761514047265513
Japan,"Inflation, consumer prices (annual %)",0.468776159383912
Kazakhstan,"Inflation, consumer prices (annual %)",5.24547679608388
Kenya,"Inflation, consumer prices (annual %)",5.23585999425422
Kyrgyz Republic,"Inflation, consumer prices (annual %)",1.13362257718798
Cambodia,"Inflation, consumer prices (annual %)",1.94257500833109
Kiribati,"Inflation, consumer prices (annual %)",-1.81307995302948
St. Kitts and Nevis,"Inflation, consumer prices (annual %)",-0.329562063663904
"Korea, Rep.","Inflation, consumer prices (annual %)",0.383000303608079
Kuwait,"Inflation, consumer prices (annual %)",1.09184802655847
Latin America & Caribbean (excluding high income),"Inflation, consumer prices (annual %)",2.17408413342914
Lao PDR,"Inflation, consumer prices (annual %)",3.32255881256934
Lebanon,"Inflation, consumer prices (annual %)",3.0053894939038
Liberia,"Inflation, consumer prices (annual %)",
Libya,"Inflation, consumer prices (annual %)",
St. Lucia,"Inflation, consumer prices (annual %)",0.539087559191731
Latin America & Caribbean,"Inflation, consumer prices (annual %)",2.37167859363039
Least developed countries: UN classification,"Inflation, consumer prices (annual %)",3.09417398862194
Low income,"Inflation, consumer prices (annual %)",2.86909425020554
Liechtenstein,"Inflation, consumer prices (annual %)",
Sri Lanka,"Inflation, consumer prices (annual %)",3.52839358231809
Lower middle income,"Inflation, consumer prices (annual %)",3.01798807179935
Low & middle income,"Inflation, consumer prices (annual %)",2.70559729787044
Lesotho,"Inflation, consumer prices (annual %)",5.18708359197993
Late-demographic dividend,"Inflation, consumer prices (annual %)",2.16176258133052
Lithuania,"Inflation, consumer prices (annual %)",2.33450937988024
Luxembourg,"Inflation, consumer prices (annual %)",1.74332075653843
Latvia,"Inflation, consumer prices (annual %)",2.81140920075622
"Macao SAR, China","Inflation, consumer prices (annual %)",2.75193081051976
St. Martin (French part),"Inflation, consumer prices (annual %)",
Morocco,"Inflation, consumer prices (annual %)",0.303386036590361
Monaco,"Inflation, consumer prices (annual %)",
Moldova,"Inflation, consumer prices (annual %)",4.83778351428723
Madagascar,"Inflation, consumer prices (annual %)",5.61051441492366
Maldives,"Inflation, consumer prices (annual %)",0.220029731065343
Middle East & North Africa,"Inflation, consumer prices (annual %)",1.04883403678989
Mexico,"Inflation, consumer prices (annual %)",3.6359614212705
Marshall Islands,"Inflation, consumer prices (annual %)",
Middle income,"Inflation, consumer prices (annual %)",2.61057182799216
North Macedonia,"Inflation, consumer prices (annual %)",0.766439573459688
Mali,"Inflation, consumer prices (annual %)",-1.65826694846368
Malta,"Inflation, consumer prices (annual %)",1.64206001768947
Myanmar,"Inflation, consumer prices (annual %)",8.82506696804562
Middle East & North Africa (excluding high income),"Inflation, consumer prices (annual %)",2.47857885221637
Montenegro,"Inflation, consumer prices (annual %)",0.361563704540798
Mongolia,"Inflation, consumer prices (annual %)",7.30481597480148
Northern Mariana Islands,"Inflation, consumer prices (annual %)",
Mozambique,"Inflation, consumer prices (annual %)",2.78110631182942
Mauritania,"Inflation, consumer prices (annual %)",2.30009262117938
Mauritius,"Inflation, consumer prices (annual %)",0.405655190309511
Malawi,"Inflation, consumer prices (annual %)",9.37083605605672
Malaysia,"Inflation, consumer prices (annual %)",0.662891865764376
North America,"Inflation, consumer prices (annual %)",1.88073954968806
Namibia,"Inflation, consumer prices (annual %)",3.72239414422688
New Caledonia,"Inflation, consumer prices (annual %)",
Niger,"Inflation, consumer prices (annual %)",-2.48979265070851
Nigeria,"Inflation, consumer prices (annual %)",11.3967949687168
Nicaragua,"Inflation, consumer prices (annual %)",5.3762899084413
Netherlands,"Inflation, consumer prices (annual %)",2.63369910249593
Norway,"Inflation, consumer prices (annual %)",2.16773003305405
Nepal,"Inflation, consumer prices (annual %)",5.56868547784925
Nauru,"Inflation, consumer prices (annual %)",
New Zealand,"Inflation, consumer prices (annual %)",1.61963190184049
OECD members,"Inflation, consumer prices (annual %)",1.74071267870177
Oman,"Inflation, consumer prices (annual %)",0.133795057453182
Other small states,"Inflation, consumer prices (annual %)",1.64206001768947
Pakistan,"Inflation, consumer prices (annual %)",10.5783618004555
Panama,"Inflation, consumer prices (annual %)",-0.355083821021212
Peru,"Inflation, consumer prices (annual %)",2.25212191358024
Philippines,"Inflation, consumer prices (annual %)",2.39206534422402
Palau,"Inflation, consumer prices (annual %)",0.267379679144381
Papua New Guinea,"Inflation, consumer prices (annual %)",3.92867290939598
Poland,"Inflation, consumer prices (annual %)",2.227478809383
Pre-demographic dividend,"Inflation, consumer prices (annual %)",2.37758732789788
Puerto Rico,"Inflation, consumer prices (annual %)",
"Korea, Dem. People's Rep.","Inflation, consumer prices (annual %)",
Portugal,"Inflation, consumer prices (annual %)",0.338178410046125
Paraguay,"Inflation, consumer prices (annual %)",2.7570972756279
West Bank and Gaza,"Inflation, consumer prices (annual %)",1.58018333639459
Pacific island small states,"Inflation, consumer prices (annual %)",1.35930740460351
Post-demographic dividend,"Inflation, consumer prices (annual %)",1.61963190184049
French Polynesia,"Inflation, consumer prices (annual %)",
Qatar,"Inflation, consumer prices (annual %)",-0.666641124861102
Romania,"Inflation, consumer prices (annual %)",3.82785432599428
Russian Federation,"Inflation, consumer prices (annual %)",4.47036660760175
Rwanda,"Inflation, consumer prices (annual %)",3.3478765503764
South Asia,"Inflation, consumer prices (annual %)",3.62894965885468
Saudi Arabia,"Inflation, consumer prices (annual %)",-2.09333333333333
Sudan,"Inflation, consumer prices (annual %)",50.9940515002971
Senegal,"Inflation, consumer prices (annual %)",1.75856517595659
Singapore,"Inflation, consumer prices (annual %)",0.565260568780358
Solomon Islands,"Inflation, consumer prices (annual %)",1.63485544012242
Sierra Leone,"Inflation, consumer prices (annual %)",14.8030585681759
El Salvador,"Inflation, consumer prices (annual %)",0.0753241350024327
San Marino,"Inflation, consumer prices (annual %)",
Somalia,"Inflation, consumer prices (annual %)",
Serbia,"Inflation, consumer prices (annual %)",1.8492298451109
Sub-Saharan Africa (excluding high income),"Inflation, consumer prices (annual %)",2.78110631182942
South Sudan,"Inflation, consumer prices (annual %)",87.2413641500032
Sub-Saharan Africa,"Inflation, consumer prices (annual %)",2.77698537023136
Small states,"Inflation, consumer prices (annual %)",1.46798976020568
Sao Tome and Principe,"Inflation, consumer prices (annual %)",
Suriname,"Inflation, consumer prices (annual %)",
Slovak Republic,"Inflation, consumer prices (annual %)",2.66456133425443
Slovenia,"Inflation, consumer prices (annual %)",1.63052260754338
Sweden,"Inflation, consumer prices (annual %)",1.78415097403832
Eswatini,"Inflation, consumer prices (annual %)",2.59801620311075
Sint Maarten (Dutch part),"Inflation, consumer prices (annual %)",
Seychelles,"Inflation, consumer prices (annual %)",2.07476436485001
Syrian Arab Republic,"Inflation, consumer prices (annual %)",
Turks and Caicos Islands,"Inflation, consumer prices (annual %)",
Chad,"Inflation, consumer prices (annual %)",-0.971939175419353
East Asia & Pacific (IDA & IBRD countries),"Inflation, consumer prices (annual %)",1.85783841646689
Europe & Central Asia (IDA & IBRD countries),"Inflation, consumer prices (annual %)",2.64328192719554
Togo,"Inflation, consumer prices (annual %)",0.685897590895539
Thailand,"Inflation, consumer prices (annual %)",0.70672860131428
Tajikistan,"Inflation, consumer prices (annual %)",
Turkmenistan,"Inflation, consumer prices (annual %)",
Latin America & the Caribbean (IDA & IBRD countries),"Inflation, consumer prices (annual %)",2.09163862244912
Timor-Leste,"Inflation, consumer prices (annual %)",0.958812739703201
Middle East & North Africa (IDA & IBRD countries),"Inflation, consumer prices (annual %)",3.0053894939038
Tonga,"Inflation, consumer prices (annual %)",1.17954334821804
South Asia (IDA & IBRD),"Inflation, consumer prices (annual %)",3.62894965885468
Sub-Saharan Africa (IDA & IBRD countries),"Inflation, consumer prices (annual %)",2.77698537023136
Trinidad and Tobago,"Inflation, consumer prices (annual %)",1.00054293027224
Tunisia,"Inflation, consumer prices (annual %)",6.72007532863804
Turkiye,"Inflation, consumer prices (annual %)",15.1768215720023
Tuvalu,"Inflation, consumer prices (annual %)",
Tanzania,"Inflation, consumer prices (annual %)",3.46428057999023
Uganda,"Inflation, consumer prices (annual %)",2.86909425020554
Ukraine,"Inflation, consumer prices (annual %)",7.8867174561113
Upper middle income,"Inflation, consumer prices (annual %)",2.0872308916202
Uruguay,"Inflation, consumer prices (annual %)",7.88198870879622
United States,"Inflation, consumer prices (annual %)",1.81221007526015
Uzbekistan,"Inflation, consumer prices (annual %)",
St. Vincent and the Grenadines,"Inflation, consumer prices (annual %)",0.913069725324485
"Venezuela, RB","Inflation, consumer prices (annual %)",
British Virgin Islands,"Inflation, consumer prices (annual %)",
Virgin Islands (U.S.),"Inflation, consumer prices (annual %)",
Vietnam,"Inflation, consumer prices (annual %)",2.79582367452244
Vanuatu,"Inflation, consumer prices (annual %)",2.76252019386107
World,"Inflation, consumer prices (annual %)",2.18690154543462
Samoa,"Inflation, consumer prices (annual %)",0.982326569888142
Kosovo,"Inflation, consumer prices (annual %)",2.67599202639892
"Yemen, Rep.","Inflation, consumer prices (annual %)",
South Africa,"Inflation, consumer prices (annual %)",4.12024587014984
Zambia,"Inflation, consumer prices (annual %)",9.15031644316299
Zimbabwe,"Inflation, consumer prices (annual %)",255.304990757856